SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,IsLuxury
904.42,1.063157929,3,334.34,30.02,5.32,59.97,20.21,86.83,1.33,5.5,3.7,8.75,0
786.1,2.063828338,3,708.91,45.49,6.83,28.69,10.89,99.9,1.23,6.65,5.89,8.34,1
599.5,1.943180052,4,267.64,19.0,6.79,33.63,9.61,97.69,1.52,3.7,7.35,6.52,1
1942.55,1.158213458,3,1089.4,23.0,5.33,23.49,3.66,89.5,1.65,6.71,7.76,4.28,1
782.67,1.30604173,4,510.22,33.65,6.26,41.73,20.43,94.48,1.59,6.13,7.34,7.84,0
652.25,1.0,3,683.35,36.47,6.67,17.09,39.98,86.21,0.83,4.05,2.72,4.94,0
550.0,2.251272627,2,733.44,77.31,6.36,54.34,33.38,99.13,1.77,5.21,2.8,4.54,0
1353.38,2.621227163,3,3.59,20.85,9.16,50.78,8.75,99.26,0.94,5.93,6.32,6.16,0
1096.07,3.251896741,5,432.12,32.66,9.92,23.02,35.14,80.68,1.68,5.49,0.67,4.8,1
1815.46,1.0,2,771.53,19.91,5.11,27.17,29.64,89.83,1.54,4.14,6.37,7.72,0
1635.4,5.741850727,3,857.57,10.9,10.0,36.0,0.94,89.6,0.65,10.0,10.0,5.63,1
550.0,1.480022478,3,93.57,59.07,5.8,1.22,13.89,90.79,0.52,3.86,5.42,5.19,0
1281.8,3.396545189,3,858.82,50.4,7.34,85.11,2.22,90.12,1.15,8.09,7.9,4.57,1
879.48,3.285003421,4,663.46,27.8,8.79,10.4,6.69,99.9,1.54,4.86,4.75,7.27,1
651.05,1.137989506,4,421.03,62.73,7.32,38.07,33.26,91.7,1.61,3.13,1.06,5.77,0
1014.76,1.335578837,1,594.49,32.66,8.91,26.06,21.16,89.17,1.73,4.14,5.53,5.62,0
550.0,1.908902833,5,600.0,43.0,8.6,18.48,1.25,98.51,0.44,6.14,3.6,6.32,1
730.03,1.840518688,2,631.71,71.7,6.72,57.13,26.99,91.6,2.07,5.41,9.48,5.79,0
733.87,2.063996483,1,578.69,61.01,1.77,8.42,15.59,86.9,1.74,5.97,1.08,1.48,0
1426.81,2.316594624,2,573.88,56.06,8.0,0.84,6.24,99.48,0.93,4.97,8.97,9.22,1
1004.76,1.380654948,2,838.79,30.1,3.89,29.4,21.78,99.11,1.45,3.56,0.66,3.9,0
1689.85,3.543602099,3,194.47,38.78,9.09,83.27,5.49,99.49,1.11,8.25,5.21,7.16,1
1840.34,2.703298937,1,426.25,47.4,7.94,79.06,13.49,96.53,1.48,5.08,8.94,5.35,0
1131.43,1.048292917,4,227.45,44.31,7.86,56.62,12.07,83.64,1.82,5.61,4.86,6.75,0
1002.54,1.506268597,1,352.38,38.16,5.66,70.78,14.73,90.61,1.8,2.83,5.31,5.19,0
1470.97,2.175998385,4,253.54,44.06,6.49,72.28,5.73,92.19,1.83,5.25,10.0,6.77,1
773.57,1.934582682,5,366.43,7.52,10.0,33.66,24.91,99.9,2.18,7.39,5.01,6.12,1
1272.43,2.760052986,4,405.29,41.68,8.03,88.79,9.64,87.94,1.14,5.03,1.32,3.98,1
550.0,3.609525564,3,357.44,3.34,8.9,49.7,19.18,94.73,2.13,4.47,6.96,5.38,1
550.0,2.639536292,4,105.28,41.35,8.14,54.3,25.43,89.63,1.29,3.93,6.09,2.43,0
